, 股票代號, 股票名稱, 發行股數, 收盤價, 市值(佰萬元),類型,yahooid
322,2458,義隆Elan,30.3880392,133.5,405680.3233,tw,2458.tw
323,1736,喬山JHT,30.3616617,92.6,281148.9873,tw,1736.tw
324,1457,宜進YI JINN,30.164764,16.5,49771.8606,tw,1457.tw
325,2852,第一保First Ins.,30.1163784,13.3,40054.78327,tw,2852.tw
326,2426,鼎元Tyntek,30.0622252,17.3,52007.6496,tw,2426.tw
327,2537,聯上開發WE &WIN,30.0557795,9.75,29304.38501,tw,2537.tw
328,1419,新光紡織SHINKO.SPIN.,30.004128,42.3,126917.4614,tw,1419.tw
329,2227,裕日車YNM,30,259,777000,tw,2227.tw
330,9914,美利達MIC,29.89838,236,705601.768,tw,9914.tw
331,1701,中國化學CCPC,29.808108,23.6,70347.13488,tw,1701.tw
332,9938,百和Taiwan Paiho,29.7963902,74,220493.2875,tw,9938.tw
333,5007,三星科技SAN SHING,29.4940154,50.1,147765.0172,tw,5007.tw
334,1702,南僑投控NAMCHOW,29.4132962,47,138242.4921,tw,1702.tw
335,8464,億豐Nien Made,29.30202,326,955245.852,tw,8464.tw
336,6278,台表科TSMT,29.2398353,129,377193.8754,tw,6278.tw
337,5534,長虹CHONG HONG,29.032596,80,232260.768,tw,5534.tw
338,9939,宏全Hon Chuan,28.7785879,60.3,173534.885,tw,9939.tw
339,2012,春雨工廠Chun Yu,28.7774,21.75,62590.845,tw,2012.tw
340,2406,國碩Gigastorage,28.5905689,21.65,61898.58167,tw,2406.tw
341,3006,晶豪科ESMT,28.5758925,64.7,184886.0245,tw,3006.tw
342,5533,皇鼎建設FOUNDING,28.5244944,16.1,45924.43598,tw,5533.tw
343,2374,佳能Ability,28.2362812,15,42354.4218,tw,2374.tw
344,3019,亞洲光學ASIA,28.1083901,73.9,207721.0028,tw,3019.tw
345,2030,彰源FROCH,28.0526027,14.5,40676.27392,tw,2030.tw
346,8163,達方電子DARFON,28.0000001,43.35,121380.0004,tw,8163.tw
347,1536,和大HOTA,27.9517513,104.5,292095.8011,tw,1536.tw
348,3059,華晶科Altek,27.9497325,33.8,94470.09585,tw,3059.tw
349,5608,四維航S. W.,27.926709,13,36304.7217,tw,5608.tw
350,3016,嘉晶PRECISION,27.8816103,71.1,198238.2492,tw,3016.tw
351,3024,憶聲ACN,27.7157496,11.4,31595.95454,tw,3024.tw
352,2548,華固HUAKU,27.6812726,87.8,243041.5734,tw,2548.tw
353,1476,儒鴻企業ECLAT,27.4367111,422.5,1159201.044,tw,1476.tw
354,2495,普安Infortrend,27.3551538,12.85,35151.37263,tw,2495.tw
355,8213,志超tpt,27.1242488,44.4,120431.6647,tw,8213.tw
356,2527,宏璟Hung Ching,27.0306,19.2,51898.752,tw,2527.tw
357,6214,精誠SYSTEX,26.9393304,87.7,236257.9276,tw,6214.tw
358,1614,三洋電機SANYO,26.9113406,36.8,99033.73341,tw,1614.tw
