, 股票代號, 股票名稱
373,3035,智原
374,9930,中聯資源
375,3712,永崴投控
376,2543,皇昌 
377,1618,合機電纜-
378,2442,新美齊
379,1203,味王 
380,1723,中鋼碳素
381,3030,德律
382,2373,震旦行
383,3023,信邦
384,3010,華立
385,5607,遠雄港 
386,2419,仲琦
387,3052,夆典
388,1708,東鹼
389,2314,台揚
390,1517,利奇機械 
391,1321,大洋
392,2516,新建 
393,6202,盛群
394,6139,亞翔  
395,2509,全坤建
396,2365,昆盈
397,2816,旺旺保險 
398,3048,益登
399,2020,美亞 
400,9911,台灣櫻花 
401,1414,東和紡織 
402,1477,聚陽
403,5519,隆大
404,1225,福懋油脂
405,9958,世紀鋼
406,6166,凌華
407,1514,亞力電機
408,1721,三晃 
409,2390,云辰
410,3028,增你強
411,6024,群益期
412,3545,敦泰
413,2439,美律
414,3056,總太地產
415,9927,泰銘
416,8039,台虹
417,2906,高林實業
418,2910,統領百貨
419,3596,智易科技
420,6168,宏齊 
421,2305,全友
422,1437,勤益控
423,2486,一詮-
424,2008,高興昌
425,1737,臺鹽
426,2013,中鋼構
427,4934,太極能源
428,1528,恩德科技
429,2477,美隆電
430,1451,年興紡織 
431,2612,中航
432,2387,精元
433,2464,盟立
434,5907,大洋-KY
435,9919,康那香
436,3041,揚智
437,1616,億泰電纜
438,2417,圓剛
439,3376,新日興
440,1603,中華電纜
441,2404,漢唐
442,3701,大眾控
443,1417,嘉裕
444,4927,泰鼎-KY
445,3209,全科科技
446,1590,亞德客-KY
447,9924,臺灣福興  
448,6115,鎰勝-KY
449,3149,正達國際-KY
450,3015,全漢
451,6196,帆宣
452,2705,六福
453,3047,訊舟
454,9802,鈺齊-KY 
455,8429,金麗-KY
456,1416,廣豐實業
457,2476,鉅祥
458,2455,全新
459,2911,麗嬰房
460,1316,上曜 
461,2427,三商電
462,1531,高林股
463,1231,聯華食品  
464,2316,楠梓電
465,2351,順德 
466,2528,皇普
467,1725,元禎
468,5434,崇越
469,3031,佰鴻
470,1515,力山工業
471,4564,元翎
472,6288,聯嘉光電
473,2038,海光企業
474,9918,欣天然
475,2723,美食-KY
476,1773,勝一化工
477,9926,新海瓦斯
478,3494,誠研
479,6189,豐藝
480,6271,同欣電子
481,1720,生達化學
482,3090,日電貿
483,2399,映泰
484,2436,偉詮電
485,1220,台榮
486,3022,威強電
487,8411,福貞-KY
488,6669,緯穎
489,1463,強盛染整
490,2611,志信
491,4426,利勤實業 
492,2359,所羅門
493,9935,慶豐富 
494,6235,華孚科技
495,2460,建通
496,5243,乙盛-KY
497,1467,南緯-KY
498,5538,東明-KY 
499,5471,松翰
500,6152,百一
501,1734,杏輝藥品
502,1809,中國製釉 
503,4961,天鈺
504,2430,燦坤
505,2302,麗正
506,6605,帝寶
507,1524,耿鼎
508,4108,懷特
509,1506,正道
510,6209,今國光學
511,2062,橋椿金屬
512,2380,虹光
513,3038,全台
514,1726,永記造漆
515,3058,立德
516,2414,精技
517,3014,聯陽
518,1468,昶和纖維 
519,1232,大統益
520,6108,競國實業 
521,2484,希華
522,2461,光群雷 
523,6184,大豐電  
524,3026,禾伸堂  
525,4943,康控-KY
526,2069,運錩鋼鐵
527,2466,冠西電
528,2342,茂矽
529,3321,同泰電子
530,3013,晟銘電
531,4141,龍燈-KY
532,3003,健和興
533,4989,榮科
534,1340,勝悅-KY
535,2420,新巨
536,3622,洋華
537,4164,承業生醫
538,1906,寶隆
539,1713,國泰化工 
540,6183,關貿網路-KY
541,8463,潤泰精材
542,2467,志聖 
543,6579,研揚
544,2613,中櫃
545,9943,好樂迪
546,1473,台南企業
547,2540,愛山林-KY 
548,2472,立隆電
549,3050,鈺德-KY
550,3450,聯鈞
551,2423,固緯
552,2478,大毅-KY
553,3437,榮創
554,2433,互盛電
555,1617,榮星電線
556,6206,飛捷
557,4942,嘉彰 
558,8021,尖點
559,4104,佳醫
560,1560,中砂
561,8454,富邦媒
562,1435,中福國際
563,1626,艾美特-KY
564,2440,太空梭 
565,1315,達新工業
566,1527,鑽全
567,1423,利華羊毛 
568,1446,宏和紡織 
569,8011,台通光電
570,3060,銘異 
571,2616,山隆
572,1707,葡萄王 
573,2375,凱美
574,1443,立益紡織
575,2597,潤弘精密
576,8473,山林水 
577,4930,燦星網 
578,3008,大立光
579,6283,淳安電子
580,3443,創意
581,3694,海華
582,1731,美吾華
583,1452,宏益纖維 
584,8028,昇陽半導體
586,2630,亞洲航空
587,6670,復盛應用
588,4935,茂林-KY
589,3645,達邁科技
590,1445,大宇紡織
591,3665,貿聯-KY
592,2032,新鋼工業
593,1474,弘裕
594,1454,臺灣富綢
595,6525,捷敏-KY
596,6141,柏承科技
597,2428,興勤
598,1724,台硝
599,6128,上福
600,2707,晶華酒店
601,2413,環科
602,2636,台驊投控3
603,8249,菱光科技
604,3029,零壹 
605,3312,弘憶股
606,6464,台數科 
607,1535,中宇
608,1582,信錦
609,1615,大山電纜 
610,3591,艾笛森 
611,3605,宏致電子
